step,time,base_pos_x,base_pos_y,base_pos_z,base_quat_w,base_quat_x,base_quat_y,base_quat_z,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11
0,0.0,0.0005195922599470513,-8.278960437155238e-05,0.5978675520598377,0.9999999246619896,-0.0001843970981400162,-0.0003330415430026615,-7.587526703980836e-05,-0.003975614974153399,0.40609285355053065,-0.7879769201276088,0.0075007400903621,0.4083090165016497,-0.7865876671470923,-0.0020693667270465987,-0.38979309760371256,0.7470889166142298,0.003850669960073188,-0.39438270703413253,0.7776974356557549,-0.3193587731267348,0.49514281484544465,0.7034336863846198,0.5963134507947591,0.6684668328157265,0.7939912629159228,-0.20642833545042746,0.7131459465760601,-3.0232027236828145,0.316061530591021,0.39964901444410394,-1.266858214526492
1,0.02,0.0019505400907831939,-0.00027382317709348416,0.5923727374699264,0.99999867152152,-0.0008813760050034195,-0.0013412833989828266,-0.00028476372070018285,-0.016097863019336068,0.4227238335609732,-0.7608238718201191,0.03019541521572762,0.43145885823028957,-0.7583447112992251,-0.01236046235863426,-0.36460395608284624,0.6563724881042835,0.017421565171742443,-0.37691071823425537,0.7193346087879635,-0.7871920138392092,1.0401967288817,1.2899694466543563,1.4324017663051987,1.448541182282284,1.33116478676326,-0.7506520835862442,1.4360400212898996,-3.8885342122078734,0.9032524089932747,1.0471116843482293,-2.787621361541293
2,0.04,0.0041942701080702905,-0.0005486330106332653,0.583515734644439,0.9999933676529874,-0.0021190255592970194,-0.002900644558769472,-0.0006005346450457242,-0.03731902512542536,0.44687481638273896,-0.7335737812513028,0.06834653360705091,0.46542736311348687,-0.7212476293366469,-0.034227496602504175,-0.32659079000426006,0.5665199385818953,0.04437385566329449,-0.34540322848020366,0.6304668479859812,-1.2212033425709405,1.2946195969219787,1.0613504376149192,2.15628408433016,1.8473053057318662,1.621801833277997,-1.1450932436561345,1.956617900288384,-3.294578373943377,1.6299280574309818,1.7332037411733834,-3.871097114937145
3,0.06,0.006633080363306397,-0.001009432957000974,0.5724931424164147,0.9999976629503604,-0.0006882055085943979,-0.0020463920648300603,-0.00011290045034833044,-0.07070469185492452,0.4632445625205786,-0.7163123678965168,0.10226288221411182,0.4958086599959953,-0.696201461086578,-0.04146885371545609,-0.3240866067220905,0.5533718078243192,0.05990751375670457,-0.3208394611968085,0.5727598935173556,-1.9050258365096913,0.3343065469014119,0.26140466341059365,0.8337813429414029,1.1714568448526168,-0.5563111225143345,-0.3360657370119325,-1.8768146753410435,2.062808178936895,-0.01203197149404478,-0.3287836564169979,-0.6544579494123068
4,0.08,0.009136571475303164,-0.0012683151125019252,0.5634949565989369,0.9999812602771098,-0.0009128233714464303,0.006025696894872672,0.0005803662862855889,-0.08374070334179884,0.4735741347049612,-0.750450904904417,0.10958305464107443,0.5304051239147456,-0.7607474838311873,-0.040287873071171036,-0.37662372514049186,0.6210442563813522,0.06321660421507161,-0.36545746843889937,0.6222565941422288,-0.021116884244426537,1.1291040311488936,-2.860908048135307,0.41691693078116576,2.469001648020451,-4.85238323768899,0.27257314057811344,-2.3057796265266095,3.1422825094740214,0.3454359872834981,-2.4254691862270077,3.1625352925178243
5,0.1,0.013170970440642174,-0.0015679317839197076,0.5567576661343407,0.9998957965624865,-0.0031650695813268655,0.014059468324101494,0.0008424379259513172,-0.08186015447758722,0.5181995957103624,-0.8429321021257976,0.1175420008850116,0.5816673566101183,-0.8653389044618022,-0.035369251940982005,-0.39533683930557023,0.6458668073422805,0.06916482926979922,-0.39390228645138997,0.6625321831928402,0.0922831924137472,2.476106824735656,-5.065472886312408,0.36443429098967356,2.2229762198493423,-4.748974388006909,0.21528667364094614,-0.1510698157766106,0.034270560804086636,0.2471135008495574,-0.6777804233065959,0.9598243354893891
6,0.12,0.01808582730449697,-0.0016875934633391468,0.5517209062095648,0.9997750801396392,-0.003674945167100898,0.02086034528235997,0.0010629696593790795,-0.08301714612749218,0.5564302360625237,-0.9253747645031872,0.12074495682659667,0.6093459885708551,-0.9293890309089075,-0.033730669874468315,-0.3868593816754523,0.6257973286177723,0.07071626509636071,-0.3900257458816974,0.6529315047751806,-0.1460809565598735,1.3898988094727949,-3.2103044961499587,0.029152196299370742,0.9042790085074492,-2.2594216759819825,0.002655956710700569,0.552141070669123,-1.2718803155098384,-0.018975122643602932,0.5687807016921556,-1.1259307099378137
7,0.14,0.0234426590948608,-0.0016228211063650277,0.5488069725011077,0.9996489383021598,-0.002101465842546471,0.026369329784973864,0.0014974776685037089,-0.08801320946062327,0.5708233309225038,-0.9613730421846788,0.11809531725926375,0.623979827029184,-0.9610466070257667,-0.036035498528415255,-0.3770776918569882,0.603792924693561,0.06787465919323055,-0.3783173227068216,0.6298557826207944,-0.2860706113000318,0.40949608843991675,-1.0678848951003495,-0.19787168617177092,0.7335832784334935,-1.3595772434242326,-0.16648168636787963,0.4708931327192646,-0.9689404866284184,-0.19155017645807074,0.5413211475062724,-1.016859537739476
8,0.16,0.02920477251519859,-0.001495106851959704,0.5478744520230361,0.9995509857669853,0.0004661773501761915,0.029902562738366535,0.0018564139095275144,-0.09434812796094036,0.5796772203586144,-0.974539926611039,0.11303243186258788,0.6403046196818414,-0.9842171253487106,-0.04057104343320248,-0.3645914591572284,0.585198193380056,0.06306299447494196,-0.372011949162234,0.6224683077261199,-0.3270505439732389,0.47538599550053423,-0.45954920229104,-0.2796146427830235,0.7992166473039825,-0.945370881658459,-0.2540027935605549,0.7471042621344993,-0.9437715333123994,-0.2613447800428436,0.27866263019824294,-0.08932202226560576
9,0.18,0.035265276984891895,-0.0014923596254433518,0.548028183369845,0.999516096387573,0.003505684480851183,0.03083545729143424,0.0021113531433842006,-0.10094504077309452,0.5911851387776184,-0.9797364415209144,0.1068050330218073,0.6537416353023133,-0.9925996710915457,-0.04598017317316243,-0.3461059510603313,0.5662047998479741,0.057995702419106406,-0.3688711522845488,0.632241633023776,-0.3214333326049206,0.5585970259014998,-0.04557702984172207,-0.32443719045379427,0.5708174224196658,-0.057510953731848474,-0.26435656291844684,0.9926244295510265,-0.9004651589602379,-0.22852262722669303,0.17268338288992752,0.7063627700081031
