epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,11.9822,0.55555,0.96292,0.96907,0.66369,0.69704,0.84846,0.60732,1.65396,1.48656,1.37036,2.82082e-05,2.82082e-05,2.82082e-05
40,12.1346,0.83424,1.02692,1.32697,0.66369,0.69704,0.84846,0.60732,1.65396,1.48656,1.37036,2.84911e-05,2.84911e-05,2.84911e-05
41,12.2998,0.72675,0.94207,1.06828,0.66948,0.68967,0.84838,0.60212,1.62374,1.51059,1.35924,2.87504e-05,2.87504e-05,2.87504e-05
42,12.4549,0.88511,1.31198,1.21479,0.66948,0.68967,0.84838,0.60212,1.62374,1.51059,1.35924,2.89861e-05,2.89861e-05,2.89861e-05
43,12.6199,0.66103,1.17258,1.16965,0.69843,0.69824,0.8205,0.56981,1.61194,1.54623,1.35705,2.91983e-05,2.91983e-05,2.91983e-05
44,12.7725,0.986,2.16366,1.37353,0.69843,0.69824,0.8205,0.56981,1.61194,1.54623,1.35705,2.93869e-05,2.93869e-05,2.93869e-05
45,13.041,0.77218,1.28924,1.23241,0.74878,0.5278,0.62833,0.41224,1.62663,1.61607,1.35854,2.9552e-05,2.9552e-05,2.9552e-05
46,13.1928,0.93633,1.452,1.28053,0.74878,0.5278,0.62833,0.41224,1.62663,1.61607,1.35854,2.96935e-05,2.96935e-05,2.96935e-05
47,13.3533,1.21377,1.54946,1.48629,0.75231,0.50957,0.59543,0.36044,1.63077,1.68288,1.35915,2.98114e-05,2.98114e-05,2.98114e-05
48,13.5049,0.92178,0.76827,1.32461,0.75231,0.50957,0.59543,0.36044,1.63077,1.68288,1.35915,2.99058e-05,2.99058e-05,2.99058e-05
49,13.6706,0.73233,0.98893,1.18502,0.76959,0.5,0.564,0.33303,1.63589,1.7071,1.36932,2.99766e-05,2.99766e-05,2.99766e-05
50,13.8242,0.78669,1.00695,1.19288,0.76959,0.5,0.564,0.33303,1.63589,1.7071,1.36932,3.00238e-05,3.00238e-05,3.00238e-05
51,13.9902,0.8498,1.03096,1.19491,0.76969,0.5,0.55366,0.32438,1.60958,1.72844,1.36007,3.00475e-05,3.00475e-05,3.00475e-05
52,14.1429,0.7496,1.50153,1.11783,0.76969,0.5,0.55366,0.32438,1.60958,1.72844,1.36007,3.00476e-05,3.00476e-05,3.00476e-05
53,14.2936,0.8214,0.94414,1.17161,0.76969,0.5,0.55366,0.32438,1.60958,1.72844,1.36007,3.00242e-05,3.00242e-05,3.00242e-05
54,14.4511,0.73594,0.91666,1.27859,0.77275,0.5,0.54641,0.31852,1.64173,1.80924,1.37843,2.99772e-05,2.99772e-05,2.99772e-05
55,14.6036,0.65149,1.23476,1.07019,0.77275,0.5,0.54641,0.31852,1.64173,1.80924,1.37843,2.99066e-05,2.99066e-05,2.99066e-05
56,14.8555,0.92895,0.98758,1.39679,0.77275,0.5,0.54641,0.31852,1.64173,1.80924,1.37843,2.98125e-05,2.98125e-05,2.98125e-05
57,15.0187,0.7271,0.70838,1.10468,0.77563,0.5,0.54057,0.31363,1.69959,1.87529,1.40465,2.96948e-05,2.96948e-05,2.96948e-05
58,15.1681,0.82933,0.65114,1.27331,0.77563,0.5,0.54057,0.31363,1.69959,1.87529,1.40465,2.95535e-05,2.95535e-05,2.95535e-05
59,15.3255,0.94954,0.90458,1.15933,0.77563,0.5,0.54057,0.31363,1.69959,1.87529,1.40465,2.93887e-05,2.93887e-05,2.93887e-05
60,15.4893,0.76608,1.18621,1.19035,0.77541,0.5,0.54598,0.31648,1.71486,1.90953,1.41737,2.92003e-05,2.92003e-05,2.92003e-05
61,15.6393,0.75235,0.85919,1.01242,0.77541,0.5,0.54598,0.31648,1.71486,1.90953,1.41737,2.89884e-05,2.89884e-05,2.89884e-05
62,15.7911,0.59177,0.67097,0.98977,0.77541,0.5,0.54598,0.31648,1.71486,1.90953,1.41737,2.87529e-05,2.87529e-05,2.87529e-05
63,15.9514,0.91217,1.54635,1.34464,0.77633,0.5,0.53076,0.28988,1.72735,2.01908,1.43417,2.84938e-05,2.84938e-05,2.84938e-05
64,16.1027,0.79149,0.83955,1.22467,0.77633,0.5,0.53076,0.28988,1.72735,2.01908,1.43417,2.82112e-05,2.82112e-05,2.82112e-05
65,16.2526,0.72659,0.78937,1.17055,0.77633,0.5,0.53076,0.28988,1.72735,2.01908,1.43417,2.7905e-05,2.7905e-05,2.7905e-05
66,16.4145,0.79234,1.37548,1.1627,0.77931,0.5,0.53365,0.28579,1.72961,1.98139,1.43215,2.75753e-05,2.75753e-05,2.75753e-05
67,16.5653,0.84688,1.25995,1.26292,0.77931,0.5,0.53365,0.28579,1.72961,1.98139,1.43215,2.7222e-05,2.7222e-05,2.7222e-05
68,16.8196,0.84529,0.99047,1.17083,0.77931,0.5,0.53365,0.28579,1.72961,1.98139,1.43215,2.68451e-05,2.68451e-05,2.68451e-05
69,16.9832,0.81816,0.90586,1.19002,0.76411,0.45775,0.50336,0.31735,1.68075,1.94722,1.40052,2.64447e-05,2.64447e-05,2.64447e-05
70,17.1326,0.65247,0.67063,1.02931,0.76411,0.45775,0.50336,0.31735,1.68075,1.94722,1.40052,2.60207e-05,2.60207e-05,2.60207e-05
71,17.2862,0.73343,0.70077,1.11624,0.76411,0.45775,0.50336,0.31735,1.68075,1.94722,1.40052,2.55731e-05,2.55731e-05,2.55731e-05
72,17.4462,0.53802,0.71197,1.04393,0.84168,0.49627,0.52956,0.31538,1.77178,1.98225,1.4507,2.5102e-05,2.5102e-05,2.5102e-05
73,17.5957,0.81696,0.76892,1.21139,0.84168,0.49627,0.52956,0.31538,1.77178,1.98225,1.4507,2.46073e-05,2.46073e-05,2.46073e-05
74,17.7515,0.6397,0.68207,1.1833,0.84168,0.49627,0.52956,0.31538,1.77178,1.98225,1.4507,2.40891e-05,2.40891e-05,2.40891e-05
75,17.9139,0.78694,0.64789,1.07595,0.84009,0.4915,0.53027,0.31523,1.76667,2.00857,1.44625,2.35472e-05,2.35472e-05,2.35472e-05
76,18.07,0.66779,0.67761,1.04211,0.84009,0.4915,0.53027,0.31523,1.76667,2.00857,1.44625,2.29819e-05,2.29819e-05,2.29819e-05
