step,time,base_pos_x,base_pos_y,base_pos_z,base_quat_w,base_quat_x,base_quat_y,base_quat_z,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,contact_force_LF_x,contact_force_LF_y,contact_force_LF_z,contact_force_LH_x,contact_force_LH_y,contact_force_LH_z,contact_force_RF_x,contact_force_RF_y,contact_force_RF_z,contact_force_RH_x,contact_force_RH_y,contact_force_RH_z
0,0.0,0.0008783005177974701,0.0002798811183311045,0.5989046692848206,0.9999992251396179,0.0008382803061977029,-0.0008361371583305299,0.000320026243571192,-0.014720320701599121,-0.006523551419377327,-0.001018141396343708,0.00012964721827302128,0.39846470952033997,-0.370118647813797,0.3881717026233673,-0.35960283875465393,-0.6920910477638245,0.6454110741615295,-0.5624077916145325,0.6063979268074036,-1.9124693870544434,-1.251677393913269,0.537997841835022,0.6514584422111511,1.4416948556900024,0.9236388206481934,0.7301238775253296,1.7854503393173218,-6.952703952789307,3.9629855155944824,2.2304797172546387,1.4433804750442505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02,0.003548738546669483,0.0006379159749485552,0.5940009951591492,0.999987781047821,0.003984546288847923,-0.0028256881050765514,0.0009376797825098038,-0.0662524402141571,-0.042309124022722244,0.022488059476017952,0.01952088251709938,0.43609094619750977,-0.32859134674072266,0.42672690749168396,-0.30318233370780945,-0.6755636930465698,0.5686444640159607,-0.576069176197052,0.5590503811836243,-2.6064932346343994,-1.861128568649292,1.1059188842773438,0.21688991785049438,2.0734353065490723,3.020580530166626,1.8835567235946655,3.502686023712158,6.195346355438232,-10.172821998596191,-5.716316223144531,3.5876283645629883,0.0,0.0,0.0,0.0,0.0,0.0,1.9134744434268214e-05,0.0,142.4152069091797,2.4741306333453394e-05,0.0,184.1434783935547
2,0.04,0.006917630322277546,0.001538754440844059,0.5890443921089172,0.9999759197235107,-0.0067932456731796265,-0.0013158564688637853,0.0006292584002949297,-0.08878796547651291,-0.0227529164403677,0.047964610159397125,0.040152452886104584,0.49152234196662903,-0.32762664556503296,0.4452243745326996,-0.3006057143211365,-0.7099360227584839,0.5994452238082886,-0.6020470857620239,0.5633364319801331,-0.11478137969970703,1.1833914518356323,1.2889585494995117,1.233667254447937,2.1908767223358154,-1.8131500482559204,0.6687748432159424,-1.3682887554168701,-10.863899230957031,2.9337852001190186,-1.6296765804290771,2.0181496143341064,2.0056362700415775e-05,0.0,149.27459716796875,4.9324342398904264e-05,0.0,367.1090087890625,1.70792882272508e-05,0.0,127.11695098876953,4.6180564822861925e-05,0.0,343.7106628417969
3,0.06,0.011193834245204926,0.002636050106957555,0.5867905020713806,0.9999388456344604,-0.010544742457568645,0.003319928888231516,-0.0003457952698227018,-0.0829213559627533,-0.01894187182188034,0.05511537939310074,0.04334637150168419,0.5125568509101868,-0.32964348793029785,0.46399638056755066,-0.28534165024757385,-0.749795138835907,0.6008119583129883,-0.6436534523963928,0.5277847647666931,-0.08903376758098602,-0.2470262348651886,-0.004467755556106567,-0.2070329785346985,1.130146861076355,0.21803595125675201,1.0028798580169678,-0.07964754104614258,-1.9634989500045776,-0.29681718349456787,-2.66462779045105,-0.44648370146751404,3.074694177485071e-05,0.0,228.84194946289062,5.318509920471115e-06,0.0,39.58436965942383,0.0,0.0,0.0,5.280682671582326e-05,0.0,393.0283203125
4,0.08,0.016228029504418373,0.004150829277932644,0.5845170021057129,0.9999451041221619,-0.008060025051236153,0.006378431338816881,-0.002057212870568037,-0.08909498155117035,-0.038516268134117126,0.060898907482624054,0.033386923372745514,0.5326489210128784,-0.33782121539115906,0.5054202675819397,-0.28076979517936707,-0.778035044670105,0.6780800223350525,-0.7362495064735413,0.5213184356689453,-0.12707309424877167,-0.8666466474533081,0.8775715231895447,-0.37956202030181885,1.067352294921875,-0.609157145023346,2.6225085258483887,-0.039091840386390686,-1.4024523496627808,2.666069984436035,-4.774339199066162,0.278112530708313,2.4091055820463225e-05,0.0,179.3038330078125,0.0,0.0,0.0,0.0,0.0,0.0,3.711754106916487e-05,0.0,276.25677490234375
5,0.1,0.02237779088318348,0.005672268103808165,0.5816096067428589,0.9999135136604309,-0.010036070831120014,0.00795625988394022,-0.00299527938477695,-0.08743121474981308,-0.05150795355439186,0.09405016154050827,0.03137798234820366,0.5589588284492493,-0.3613285720348358,0.5694036483764648,-0.27122440934181213,-0.8093804121017456,0.7085824608802795,-0.8381836414337158,0.5165745615959167,0.25009170174598694,-0.6750174760818481,2.050081729888916,0.06801776587963104,1.3347417116165161,-1.6749542951583862,3.3632142543792725,0.20879563689231873,-1.562600016593933,2.951643228530884,-5.360057830810547,0.5908991098403931,2.8302874852670357e-05,0.0,210.6513671875,0.0,0.0,0.0,0.0,0.0,0.0,4.239996269461699e-05,0.0,315.57257080078125
6,0.12,0.02955503575503826,0.007867973297834396,0.5786156058311462,0.9998794794082642,-0.01217630598694086,0.008953914977610111,-0.0035532237961888313,-0.08721929788589478,-0.07372409850358963,0.1313323825597763,0.030137134715914726,0.5874112248420715,-0.3960871994495392,0.638006329536438,-0.257645845413208,-0.839120626449585,0.7362297177314758,-0.922671377658844,0.5120800137519836,0.016933530569076538,-1.270462989807129,1.8073649406433105,-0.019037727266550064,1.3405262231826782,-1.710007905960083,3.324345588684082,0.3793625235557556,-1.3582788705825806,0.9817448258399963,-3.446113348007202,0.12592492997646332,2.3370885173790157e-05,0.0,173.94378662109375,0.0,0.0,0.0,0.0,0.0,0.0,3.491244206088595e-05,0.0,259.84478759765625
7,0.14,0.037782467901706696,0.010840361937880516,0.5752507448196411,0.9998455047607422,-0.01401554886251688,0.009783239103853703,-0.004136799834668636,-0.08909468352794647,-0.10026772320270538,0.16138291358947754,0.027059847488999367,0.618750274181366,-0.42219457030296326,0.6985167860984802,-0.2423340380191803,-0.8695592880249023,0.753172755241394,-0.9668065905570984,0.5082346200942993,-0.009913064539432526,-1.124380350112915,1.4152541160583496,-0.03884899243712425,1.6180329322814941,-0.9577608704566956,2.7280359268188477,0.5402909517288208,-1.5826977491378784,1.2980501651763916,-1.1194288730621338,0.05440253019332886,2.0758616301463917e-05,0.0,154.50131225585938,2.4393236799369333e-06,0.0,18.155288696289062,0.0,0.0,0.0,2.86200793198077e-05,0.0,213.01223754882812
8,0.16,0.04696684703230858,0.01413729228079319,0.5710538029670715,0.9998214840888977,-0.014894724823534489,0.010610862635076046,-0.004780630115419626,-0.0937277227640152,-0.11141479760408401,0.18032293021678925,0.0209064781665802,0.6539400815963745,-0.42413702607154846,0.746701180934906,-0.22940894961357117,-0.9028692245483398,0.7792938947677612,-0.9699041247367859,0.5105196833610535,-0.40448904037475586,-0.47246724367141724,0.5919740200042725,-0.39431703090667725,1.7396153211593628,0.30906668305397034,2.149287462234497,0.3783532679080963,-1.6388252973556519,0.857424795627594,0.9448060393333435,0.45891687273979187,1.5417386748595163e-05,0.0,114.74784851074219,1.86150791705586e-05,0.0,138.5474853515625,0.0,0.0,0.0,1.591070758877322e-05,0.0,118.41950225830078
9,0.18,0.05695754289627075,0.017285486683249474,0.5659505128860474,0.9998524188995361,-0.010164439678192139,0.012828282080590725,-0.0052312640473246574,-0.11000083386898041,-0.12788639962673187,0.1824863851070404,0.009786290116608143,0.6893813610076904,-0.4141981303691864,0.7826032638549805,-0.22485901415348053,-0.9387286305427551,0.7877094745635986,-0.9246244430541992,0.5291110277175903,-1.0018996000289917,-0.9608016014099121,-0.06912316381931305,-0.2121451199054718,1.780880093574524,0.2867808938026428,1.49149489402771,0.0859595239162445,-1.9628922939300537,0.5901702046394348,3.827536106109619,1.4305965900421143,7.964554242789745e-06,0.0,59.27822494506836,3.9815065974835306e-05,0.0,296.33380126953125,0.0,0.0,0.0,0.0,0.0,0.0
10,0.2,0.06777924299240112,0.019431082531809807,0.5609039664268494,0.999826192855835,-0.005174499470740557,0.017189620062708855,-0.005031101871281862,-0.12374621629714966,-0.14138375222682953,0.17453038692474365,0.02916884794831276,0.7221594452857971,-0.3986195921897888,0.8149490356445312,-0.23153306543827057,-0.9819034337997437,0.779714047908783,-0.9434449672698975,0.5822731852531433,-0.20245537161827087,-0.4365493357181549,-0.4170151948928833,1.7311755418777466,1.257274866104126,0.3157918453216553,1.4500714540481567,-0.7307038307189941,-2.3780291080474854,0.2780454158782959,-1.4189786911010742,3.5354018211364746,0.0,0.0,0.0,5.770955976913683e-05,0.0,429.51812744140625,3.500822640489787e-05,0.0,260.5576477050781,0.0,0.0,0.0
11,0.22,0.07907252013683319,0.02080710418522358,0.5581573247909546,0.9997435808181763,-0.0037959376350045204,0.021886685863137245,-0.0043961969204247,-0.10796980559825897,-0.1448262333869934,0.170003741979599,0.07395653426647186,0.724648654460907,-0.37609386444091797,0.8415787220001221,-0.265720009803772,-1.0632350444793701,0.7583401203155518,-0.9657176733016968,0.670264720916748,1.1113812923431396,-0.37261635065078735,-0.3622608780860901,2.225449800491333,-0.7793976068496704,0.8460506200790405,1.1015996932983398,-2.5658349990844727,-4.4960808753967285,-0.796808123588562,-0.869743287563324,5.979834079742432,0.0,0.0,0.0,5.328938641468994e-05,0.0,396.619873046875,5.0173326599178836e-05,0.0,373.4278259277344,0.0,0.0,0.0
