step,time,base_pos_x,base_pos_y,base_pos_z,base_quat_w,base_quat_x,base_quat_y,base_quat_z,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,contact_force_LF_x,contact_force_LF_y,contact_force_LF_z,contact_force_RF_x,contact_force_RF_y,contact_force_RF_z,contact_force_LH_x,contact_force_LH_y,contact_force_LH_z,contact_force_RH_x,contact_force_RH_y,contact_force_RH_z
0,0.0,0.0008084381280918744,-0.00013617522029812023,0.5978259445867424,0.9999996085248876,-0.0005711568763954956,-0.0006554071433099217,-0.00016483740715139185,-0.003054926282705056,0.4126535795094448,-0.7927178823959177,0.009485533319357456,0.41231367492368876,-0.779248112405848,-0.00045964548896999216,-0.3863015393143393,0.7424330699106854,0.0043053871754248655,-0.3921160231366904,0.7894779719391661,-0.2451106887511456,1.000006976372676,0.43828552569301227,0.7532677116379609,0.9901664108884584,1.2235619974500427,-0.08887011478554609,0.9776712465400912,-3.2903914137750014,0.3394699708985154,0.5925007212661771,-0.5860888199273347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02,0.003069810971233433,-0.00043860043327694593,0.5922077793832494,0.9999942924514229,-0.0021896004956333515,-0.0024848071266135095,-0.0006681674875422728,-0.012818082797461723,0.44761991105691784,-0.7729898319393198,0.03717456438462648,0.44708964236819676,-0.7372944715023433,-0.0071581089006845355,-0.3513467025045209,0.6414840373713256,0.017843778396694775,-0.3672684172887227,0.742486595484012,-0.6522415937207072,2.1667814201750812,0.9972380717516751,1.727384732021933,2.181044262151253,1.9522937774401696,-0.561334179860545,2.0262873953889255,-4.354306634891674,0.8728979124211065,1.5146082841744077,-2.4151244452781513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.04,0.006602144460729598,-0.0008362255899251097,0.5830921345285127,0.9999757051726872,-0.004413926276121964,-0.005183617459423284,-0.0014954695753860317,-0.031668415536177795,0.501051307242681,-0.7533384933575006,0.0814087789000304,0.499232962656145,-0.6867805820222882,-0.023394192021742137,-0.2998632586836435,0.543778830257536,0.04319454199575451,-0.32431279243652494,0.6543668616001427,-1.1143306182797683,2.9017846371125158,0.7870467058335965,2.4590985606202778,2.851710079878947,2.1438087913669293,-0.6278809526322138,2.542906272290211,-3.748461402404967,1.534072655929429,2.3467832027512094,-3.9746559000634867,0.0,0.0,0.0,0.0,0.0,0.0,-43.14810716523796,45.08555246033294,-78.01730603731274,0.0,0.0,0.0
3,0.06,0.010401803243009959,-0.0014345486570957894,0.5721610615841785,0.9999890084892736,-0.0008311888915158094,-0.00454116529599256,-0.0008184396256827246,-0.07069670996893829,0.550353390597196,-0.7451791617546416,0.10703586110471976,0.5487187239713512,-0.6800184659576862,-0.031974995394250964,-0.3064555444634341,0.5492587556441623,0.058223596367980524,-0.28482339065573686,0.5699166383717101,-2.376402338551028,2.0469579753731018,0.18501001039630072,0.07202026143118023,2.0894070760527352,-1.8370414446736438,-0.5873950689727366,-2.350604544320107,3.1821896745057847,-0.20091490100504122,0.5562482742317876,-2.0345508117679607,0.0,0.0,0.0,3.095976422732475,-52.174295329731585,-82.39195884745966,-156.0908712938708,-53.47548020969196,-415.2197475766463,-190.27557280694742,-1.6406751452956194,-371.8666407363846
4,0.08,0.014417454549056807,-0.0017788426894278391,0.5631812548456082,0.9999948507281954,6.364212940536739e-05,0.003208051181771238,-5.3613326697859944e-05,-0.09644172547564896,0.5880539491269746,-0.8030805550384577,0.1102919234391902,0.5933587946900327,-0.7566765547461723,-0.03261799297536683,-0.3571185033019256,0.6225556047208157,0.059884252475591156,-0.3241863760758894,0.6131281339840742,-0.440320577387017,1.762073203230166,-3.649407798632142,0.4314181150149219,2.570440164268029,-4.8473029138958275,0.33073824563104515,-2.010997463343542,2.982556007630375,0.40263938531885346,-2.449313680451836,3.334317954454243,4.541120806359111,24.83597250423142,-31.855374221279565,31.022256132143436,29.50040593704628,-270.9699723064517,-35.952585670231315,-26.05097388595708,-197.1334784282764,-57.190717348902105,13.301443020622806,-189.07657465315646
5,0.1,0.0200085367983647,-0.0023325331620700617,0.5557966101256928,0.9999211652995714,-0.004303422323774782,0.011778523728568689,0.00064040692227188,-0.09307448347063979,0.6237238201783661,-0.8783085646111973,0.12201186356346722,0.6431939564140001,-0.8538206823064023,-0.022391605245704757,-0.368166652112815,0.6371344150446299,0.07115976410430826,-0.3555025023599689,0.6618783069182751,0.31476028343180457,1.7552514833842896,-3.64016013342322,0.6007751447858659,2.176030837342552,-4.348734095592839,0.5429036143736555,0.2015177666982471,-0.5001981107525943,0.5776713248600021,-0.8208708214372117,1.4306761069667062,6.637630898050141,-3.0445182066878473,-62.07669229366027,-22.19865628373157,36.735429103220895,-207.27664425038412,-62.50272515452354,-21.45480966831278,-198.68370192709642,2.146649514908476,5.140308588002744,-70.92861772233557
6,0.12,0.027085840141546035,-0.002774122644865399,0.5500976374065842,0.999793476855985,-0.006451301158811543,0.019212321080382053,0.001507006398094117,-0.09111874110705859,0.6575170938033859,-0.9441010721108393,0.12833252601599696,0.6748215372197471,-0.9160761504543924,-0.015936245732004296,-0.3552591470536755,0.6112373459885153,0.07767924037787134,-0.3529199255194892,0.6607285621812456,-0.07885620220390314,1.532927581188722,-2.9115543059794593,0.10685796792729352,1.2863310878311218,-2.4290147698555176,0.15815583455051602,0.6650116301224611,-1.3458608273390642,0.14565251316909172,0.6235707807471864,-0.8514273309284801,1.7642233137584684,-9.898706150530096,-71.27950842148738,-14.977895959956076,42.637172502954975,-236.23427950786527,-118.08318382385406,-40.27686581802561,-300.9969641242229,-12.149077024458402,0.6495382323236855,-57.63845451515449
7,0.14,0.0353194836413102,-0.0031193299382900976,0.5466324596215746,0.9996656607749813,-0.004175292017280157,0.025380959291700946,0.0026344846411275767,-0.09788577815760699,0.6837815823093951,-0.9896329308021234,0.12464819688150476,0.6999086877313156,-0.9553592901587403,-0.017839591376364823,-0.34140029153676177,0.5870637407701005,0.07543471499964617,-0.3371943819295677,0.6391348281548449,-0.45598812262470984,1.1119385909311836,-1.776960919083003,-0.3218508559590527,1.2839952739760243,-1.7719440023682924,-0.2192023721622579,0.7773174596656318,-1.1841931852226915,-0.23467378545555223,0.8283746757339749,-1.0542804749253107,0.5851806910559972,-12.689868469123796,-56.61358548959979,-2.9469727729393065,43.11666189131162,-278.84693381742386,-106.6645511577662,-40.22652031080719,-285.4408954096022,-25.40332934414156,-4.289246865180328,-52.31920940980386
8,0.16,0.04450120495148266,-0.0035945552294709866,0.5450335519055319,0.9995534732404421,1.7080792999814e-05,0.029663611504056386,0.003594995653993096,-0.10747029080752783,0.7040574825628987,-1.0141175280550483,0.11708982608026466,0.7253358908558272,-0.9838995275305149,-0.023598534667292517,-0.31834076182661775,0.557026796981541,0.07218043476854277,-0.3276503089193045,0.6452491141666835,-0.4618830012605214,0.9000580658013869,-0.8192599475030655,-0.38733517115297356,1.2011103448403488,-1.1237999749064678,-0.2969408590933685,1.373049509168832,-1.6907305164626085,-0.06089335171645062,0.37283809382011285,0.946792182695761,5.00957227718072,-13.438569567022672,-35.12736168532868,-16.889973741045587,38.03246970064945,-273.7471654428216,-102.86169440375136,-35.7099600689247,-257.7100048029745,-7.604946363068205,-4.78897473557269,-11.277148628848769
9,0.18,0.05441292725786275,-0.0045328586122195084,0.5447389311355847,0.9994748270504866,0.0033072478649306624,0.03194647364974178,0.004307554446190326,-0.11195923078125683,0.7215727971487456,-1.0263575281466186,0.11181419651647907,0.7451650166746958,-0.994470777054416,-0.027161247852823547,-0.28594945153685825,0.5191062490822418,0.08117121850865128,-0.3280680187130416,0.7010897063094619,-0.06456039548359765,0.8059889901305277,-0.43116446331648783,-0.1808396020599581,0.8590096316696016,-0.1616597800991747,-0.09369622209583078,1.7110329159601476,-1.9330687513430806,0.7199679699130246,-0.16131575990080627,2.7982573654288343,12.091772772333494,-10.082449546013073,-19.710884807288913,-21.645950445368026,34.69811162090209,-273.757190453658,-108.13263057202553,-34.16140365615763,-254.03607556992924,-0.09042419635220887,-0.6368134763937012,-0.8055479424306737
